Price01,Price02,Price03,Price04,Price05,Price06,Price07,Price08,Price09,Price10,fval
23.1766770905699,112.029461566965,204.919805846385,293.925995018514,37.6989198258956,2232302.09444814,4114572.33078251,8749578.37718358,87.1869178438325,0,-10900661.0380012
30.6505395762677,141.940304851387,157.36768718326,309.24804235741,57.2729770963532,1874783.38029308,2970644.83431552,7906734.54632817,123.682976201041,-8.72931991167733e-05,-18017780.1643684
27.5836322399978,190.47259579172,181.677970848005,235.957942389598,48.4982857714915,3164363.74581226,3080248.58627068,8110301.82082273,114.287959678636,0,-10934783.7971697
32.2945765210242,143.105954184128,209.303207640933,307.826653173496,57.1046222485314,1884158.53140687,3187149.22918754,8715010.58169449,115.798893909935,-0.000287543541868798,-20145602.9112043
34.1526754684155,127.335894075229,161.79208897481,304.953095864488,32.2768703645946,1678113.47375894,2685279.51128053,3967809.38554484,87.9764880157266,-0.000251658381989523,-18842086.2832086
28.1062002623563,165.998196463714,174.9291295603,181.380485384213,43.76867836306,2473116.11810166,4301376.09121669,5521010.89581774,79.3104411938119,-0.0002239488,-9225993.93093783
20.4538231184046,184.373188921644,115.520965364046,298.286952346242,42.6305278503966,2722693.41454922,3538164.13555979,5859597.12307188,109.113725263577,0,-11854146.4263126
22.1477408173086,144.437703686694,156.618351899962,281.827954566172,42.5121884735702,1988653.8194312,4023911.41162627,6607704.47458793,100.737658604555,0,-11183349.2758786
41.1580259377663,155.504517562278,193.304344726685,324.438275796114,41.2721237087351,2872251.6909048,3788156.659929,6193412.64885799,90.1572560554394,-9.21023856851541e-05,-17191042.4173854
27.5673295071794,128.513276108447,168.594231106899,360.556653245449,39.5264820362671,2486580.89311951,3695345.48812382,6237902.8759988,112.071741407903,6.75654172531654e-05,-17343082.8213505
43.4590461205396,115.510237912451,114.024547274125,280.058543807956,34.2918856869145,2599662.90405499,3009230.8669828,7113855.61932354,104.92749332325,-0.000616174661970665,-17602941.309969
40.2928541055599,163.212518905834,125.973494015508,289.580809711512,54.9996366417748,3136911.78701576,2644179.86482963,6301068.58196638,114.193036189612,-0.000235796859460089,-17518593.8386581
43.5052887502467,109.316076356571,156.751832677637,273.579110702945,57.8373287600137,2099163.2859463,3631589.53592461,5747211.00951775,100.534263512007,-0.000242490224394059,-18081121.9415191
31.6575621541698,158.997276822078,83.9134277230856,330.238307099797,39.0478481845285,2865441.7994508,2383289.10997016,7590943.14937096,116.47889392275,-0.000363841750044239,-17615199.1803454
40.6153280250323,108.594288309754,92.0350633718024,309.154887020174,42.8207247023275,2843737.90239158,3585286.30649954,9854530.54222333,105.755198484088,-0.000363740941290528,-17300293.1005782
29.0143413714217,173.307101266456,185.816667728838,378.471109951983,44.6678541126064,2578043.26129051,4368456.26134896,8767607.14104161,101.556704462864,-0.000407977877453491,-17099895.7673183
32.797327966506,169.8449317875,171.152973201523,341.968336675356,53.0141568647984,2654482.45092269,2331285.91225395,6407557.04532326,89.1668928870095,-0.000178222900030482,-17881726.6908453
38.7410621261418,188.524012754892,186.147210752805,363.346520635919,34.4085267124929,2829623.24082226,3229594.72565995,5490363.12544455,58.2893128422159,-0.000298187950184891,-17813722.3491703
28.1591063477858,121.12159098781,204.00903271897,205.150934350598,60.246682763444,2481971.38562498,2471411.94297825,6216911.72601776,109.156878666233,-0.000215137453945742,-11696657.2070828
33.8043819046115,176.495069213775,113.841147150097,235.189615283078,60.2184962561124,2544721.90666963,3584973.27349971,8011845.25641677,99.7326521304641,0,-11162027.4003382
28.1684729129816,186.625574790022,159.847033620003,219.931909054142,51.1857961873384,2900957.49843254,3510503.34762827,7495355.48290054,64.0272407852531,-1.6042320384e-05,-9825855.59768781
41.1638284929114,133.033223745584,132.226738013542,261.766225645881,38.0747375307975,1977581.78705664,2056451.96330236,9961686.8512343,111.986400972694,3.6322843533599e-05,-17997453.5643737
30.996687533317,140.812271997214,158.289588278163,174.907149273245,48.0148436241456,2096888.70903077,4316720.86227856,7605331.06136539,84.8221723515574,0,-9386234.72848919
22.8522288336923,132.648178592165,136.219989071756,181.606469215856,59.4082470407512,3040659.76298078,3434714.23672314,9535986.0930383,108.926055579096,0,-9282609.0629611
32.4472795644914,144.22690631094,205.833028316122,284.643454437582,54.9959908176505,2255999.82078752,2994411.89167913,5132945.05953285,133.407021730119,-0.000195111721076032,-20345200.9378023
28.3063502870007,133.58117344581,171.616956810263,334.547733149956,38.6042269880901,3071572.88664599,2452540.7412457,8521040.30916315,131.589918133693,-0.000332114290116425,-17420106.5182822
19.3404037589112,132.728458781635,180.980476076133,166.485272029448,48.1467665911601,2412920.41741125,4094562.14529922,5700058.56653169,75.2375603943828,0,-8491536.34022851
20.9353247807554,134.47977206648,202.119124304557,289.352732508425,36.6808631233623,2678392.97450662,3863851.21182283,8446368.95151841,106.336921505318,8.8516886016e-05,-11063613.1716853
