times_noeq10,vals_noeq10
11.8339245,54552140.66
14.3768902,63084019.21
16.5488272,57012931.41
17.8210784,61349840.4
23.4804104,53059219.81
49.6560698,59459130.22
26.5835911,53191676.9
20.3789577,57568823.07
53.7959565,58023623.4699998
15.8150468,65031127.88
