times_eq10,vals_eq10
16.9107817,55278134.68
20.2996393,53574890.63
17.6621433,60433460.17
25.0565889,60231882.95
45.3267209,48093497.65
37.3726902,59459130.22
23.2621708,53191676.9
26.482058,57568823.07
29.4675637,58023623.47
19.5836162,65031127.88
